Timestamp,City,Temperature,Humidity,Pressure,Wind_Speed
2024-01-01 00:00:00+00:00,Karachi,15.3,65,1016.7,3.31
2024-01-01 01:00:00+00:00,Karachi,15.0,67,1017.2,3.45
2024-01-01 02:00:00+00:00,Karachi,14.7,68,1018.1,3.5
2024-01-01 03:00:00+00:00,Karachi,15.2,66,1018.4,3.62
2024-01-01 04:00:00+00:00,Karachi,17.6,57,1019.0,3.32
2024-01-01 05:00:00+00:00,Karachi,20.6,48,1019.3,4.03
2024-01-01 06:00:00+00:00,Karachi,23.3,39,1018.6,4.17
2024-01-01 07:00:00+00:00,Karachi,25.1,31,1017.4,3.89
2024-01-01 08:00:00+00:00,Karachi,26.2,26,1015.9,3.58
2024-01-01 09:00:00+00:00,Karachi,26.9,25,1015.0,3.11
2024-01-01 10:00:00+00:00,Karachi,27.0,25,1014.5,1.78
2024-01-01 11:00:00+00:00,Karachi,26.4,26,1014.2,0.67
2024-01-01 12:00:00+00:00,Karachi,24.6,45,1014.5,3.98
2024-01-01 13:00:00+00:00,Karachi,23.7,39,1015.4,1.63
2024-01-01 14:00:00+00:00,Karachi,21.9,54,1016.2,0.85
2024-01-01 15:00:00+00:00,Karachi,20.7,57,1016.8,1.3
2024-01-01 16:00:00+00:00,Karachi,19.9,53,1017.4,2.14
2024-01-01 17:00:00+00:00,Karachi,19.0,53,1017.5,2.3
2024-01-01 18:00:00+00:00,Karachi,18.1,57,1017.3,2.62
2024-01-01 19:00:00+00:00,Karachi,17.2,61,1017.1,2.77
2024-01-01 20:00:00+00:00,Karachi,16.5,65,1017.0,2.77
2024-01-01 21:00:00+00:00,Karachi,15.9,68,1016.6,2.92
2024-01-01 22:00:00+00:00,Karachi,15.6,70,1016.0,3.26
2024-01-01 23:00:00+00:00,Karachi,15.2,71,1015.7,3.48
2024-01-02 00:00:00+00:00,Karachi,15.1,72,1015.6,3.44
2024-01-02 01:00:00+00:00,Karachi,14.8,73,1015.9,3.11
2024-01-02 02:00:00+00:00,Karachi,14.4,76,1016.7,2.8
2024-01-02 03:00:00+00:00,Karachi,15.2,72,1017.3,2.62
2024-01-02 04:00:00+00:00,Karachi,17.2,63,1017.8,2.67
2024-01-02 05:00:00+00:00,Karachi,19.5,54,1018.0,2.42
2024-01-02 06:00:00+00:00,Karachi,22.2,45,1017.4,2.35
2024-01-02 07:00:00+00:00,Karachi,23.8,46,1016.3,1.8
2024-01-02 08:00:00+00:00,Karachi,24.7,50,1015.1,0.5
2024-01-02 09:00:00+00:00,Karachi,25.5,47,1014.2,1.06
2024-01-02 10:00:00+00:00,Karachi,25.1,46,1013.5,4.32
2024-01-02 11:00:00+00:00,Karachi,23.6,51,1013.8,6.04
2024-01-02 12:00:00+00:00,Karachi,23.2,57,1014.0,3.34
2024-01-02 13:00:00+00:00,Karachi,22.4,63,1014.3,2.6
2024-01-02 14:00:00+00:00,Karachi,21.7,71,1015.1,2.82
2024-01-02 15:00:00+00:00,Karachi,21.1,75,1015.7,2.28
2024-01-02 16:00:00+00:00,Karachi,20.3,81,1015.9,1.28
2024-01-02 17:00:00+00:00,Karachi,20.6,80,1015.7,0.73
2024-01-02 18:00:00+00:00,Karachi,20.4,82,1015.5,0.81
2024-01-02 19:00:00+00:00,Karachi,20.0,85,1015.2,0.92
2024-01-02 20:00:00+00:00,Karachi,18.0,93,1015.0,1.91
2024-01-02 21:00:00+00:00,Karachi,17.6,82,1015.0,3.01
2024-01-02 22:00:00+00:00,Karachi,17.4,68,1014.8,2.66
2024-01-02 23:00:00+00:00,Karachi,17.5,63,1014.5,2.5
2024-01-03 00:00:00+00:00,Karachi,17.0,63,1014.4,2.41
2024-01-03 01:00:00+00:00,Karachi,16.7,61,1015.0,2.75
2024-01-03 02:00:00+00:00,Karachi,16.5,59,1015.5,2.97
2024-01-03 03:00:00+00:00,Karachi,16.9,56,1015.9,3.01
2024-01-03 04:00:00+00:00,Karachi,18.6,49,1016.8,3.01
2024-01-03 05:00:00+00:00,Karachi,21.3,42,1017.3,3.59
2024-01-03 06:00:00+00:00,Karachi,23.2,49,1016.6,3.89
2024-01-03 07:00:00+00:00,Karachi,24.2,49,1015.5,3.05
2024-01-03 08:00:00+00:00,Karachi,25.0,46,1014.4,2.46
2024-01-03 09:00:00+00:00,Karachi,25.6,43,1013.6,2.09
2024-01-03 10:00:00+00:00,Karachi,25.7,42,1012.9,1.8
2024-01-03 11:00:00+00:00,Karachi,25.4,42,1012.6,1.56
2024-01-03 12:00:00+00:00,Karachi,24.9,42,1012.7,1.58
2024-01-03 13:00:00+00:00,Karachi,23.8,44,1013.3,2.94
2024-01-03 14:00:00+00:00,Karachi,22.7,44,1014.3,4.16
2024-01-03 15:00:00+00:00,Karachi,21.5,47,1015.0,4.34
2024-01-03 16:00:00+00:00,Karachi,20.5,49,1015.6,4.26
2024-01-03 17:00:00+00:00,Karachi,19.7,51,1015.8,4.65
2024-01-03 18:00:00+00:00,Karachi,19.0,52,1015.8,4.39
2024-01-03 19:00:00+00:00,Karachi,18.4,54,1015.6,4.34
2024-01-03 20:00:00+00:00,Karachi,17.9,55,1015.5,4.64
2024-01-03 21:00:00+00:00,Karachi,17.5,55,1015.6,4.74
2024-01-03 22:00:00+00:00,Karachi,17.3,56,1015.6,4.95
2024-01-03 23:00:00+00:00,Karachi,17.0,59,1015.3,5.1
2024-01-04 00:00:00+00:00,Karachi,16.7,60,1015.4,4.74
2024-01-04 01:00:00+00:00,Karachi,16.0,61,1016.4,5.32
2024-01-04 02:00:00+00:00,Karachi,15.7,60,1017.0,5.26
2024-01-04 03:00:00+00:00,Karachi,16.1,56,1017.5,4.96
2024-01-04 04:00:00+00:00,Karachi,17.8,49,1018.4,4.61
2024-01-04 05:00:00+00:00,Karachi,20.0,42,1018.8,4.53
2024-01-04 06:00:00+00:00,Karachi,22.2,35,1018.0,5.04
2024-01-04 07:00:00+00:00,Karachi,23.6,30,1017.0,5.21
2024-01-04 08:00:00+00:00,Karachi,24.4,28,1015.7,4.72
2024-01-04 09:00:00+00:00,Karachi,24.8,27,1014.7,4.57
2024-01-04 10:00:00+00:00,Karachi,25.0,27,1014.0,4.34
2024-01-04 11:00:00+00:00,Karachi,24.9,28,1013.6,4.34
2024-01-04 12:00:00+00:00,Karachi,24.2,29,1013.9,3.81
2024-01-04 13:00:00+00:00,Karachi,22.5,33,1014.6,4.23
2024-01-04 14:00:00+00:00,Karachi,21.2,37,1015.1,4.61
2024-01-04 15:00:00+00:00,Karachi,20.1,43,1015.7,4.73
2024-01-04 16:00:00+00:00,Karachi,19.3,48,1016.2,5.17
2024-01-04 17:00:00+00:00,Karachi,18.3,52,1016.4,5.13
2024-01-04 18:00:00+00:00,Karachi,17.6,56,1016.5,4.65
2024-01-04 19:00:00+00:00,Karachi,17.1,58,1016.2,4.81
2024-01-04 20:00:00+00:00,Karachi,16.6,60,1016.0,4.59
2024-01-04 21:00:00+00:00,Karachi,16.2,62,1016.0,4.3
2024-01-04 22:00:00+00:00,Karachi,15.8,63,1015.8,4.13
2024-01-04 23:00:00+00:00,Karachi,15.6,64,1015.4,4.08
2024-01-05 00:00:00+00:00,Karachi,15.3,65,1015.6,4.0
2024-01-05 01:00:00+00:00,Karachi,14.2,71,1016.1,3.97
2024-01-05 02:00:00+00:00,Karachi,14.1,72,1016.7,4.0
2024-01-05 03:00:00+00:00,Karachi,14.7,68,1017.0,3.94
2024-01-05 04:00:00+00:00,Karachi,16.4,60,1017.9,4.0
2024-01-05 05:00:00+00:00,Karachi,19.1,49,1018.3,3.91
2024-01-05 06:00:00+00:00,Karachi,21.4,39,1017.8,4.02
2024-01-05 07:00:00+00:00,Karachi,23.1,34,1016.6,3.35
2024-01-05 08:00:00+00:00,Karachi,23.9,35,1015.5,2.69
2024-01-05 09:00:00+00:00,Karachi,24.5,36,1014.5,2.08
2024-01-05 10:00:00+00:00,Karachi,24.8,37,1014.2,1.42
2024-01-05 11:00:00+00:00,Karachi,24.7,39,1014.1,0.45
2024-01-05 12:00:00+00:00,Karachi,24.0,41,1014.5,2.68
2024-01-05 13:00:00+00:00,Karachi,22.8,42,1014.7,2.0
2024-01-05 14:00:00+00:00,Karachi,21.7,49,1015.6,0.22
2024-01-05 15:00:00+00:00,Karachi,20.9,48,1016.2,3.07
2024-01-05 16:00:00+00:00,Karachi,19.9,50,1016.9,4.52
2024-01-05 17:00:00+00:00,Karachi,18.9,55,1017.4,4.62
2024-01-05 18:00:00+00:00,Karachi,18.2,58,1017.6,4.57
2024-01-05 19:00:00+00:00,Karachi,17.7,60,1017.5,4.53
2024-01-05 20:00:00+00:00,Karachi,17.3,61,1017.4,4.96
2024-01-05 21:00:00+00:00,Karachi,16.8,61,1017.0,5.28
2024-01-05 22:00:00+00:00,Karachi,16.4,61,1016.8,5.48
2024-01-05 23:00:00+00:00,Karachi,16.0,66,1016.6,5.24
2024-01-06 00:00:00+00:00,Karachi,15.7,71,1016.7,5.09
2024-01-06 01:00:00+00:00,Karachi,16.0,68,1017.1,5.16
2024-01-06 02:00:00+00:00,Karachi,15.6,68,1017.6,5.09
2024-01-06 03:00:00+00:00,Karachi,16.0,66,1018.3,5.17
2024-01-06 04:00:00+00:00,Karachi,17.9,58,1018.6,5.45
2024-01-06 05:00:00+00:00,Karachi,20.4,51,1019.2,5.76
2024-01-06 06:00:00+00:00,Karachi,22.3,45,1018.8,6.28
2024-01-06 07:00:00+00:00,Karachi,23.5,41,1017.7,6.18
2024-01-06 08:00:00+00:00,Karachi,24.4,38,1016.5,5.77
2024-01-06 09:00:00+00:00,Karachi,25.0,36,1015.6,5.5
2024-01-06 10:00:00+00:00,Karachi,25.2,36,1015.0,5.15
2024-01-06 11:00:00+00:00,Karachi,25.0,36,1015.2,5.15
